THERAPY_TYPE,NAME,COMPOUND__C,CATEGORIES,HCP_ACC,INDICATIONS,CALL_ID,THERAPY_K_TOPIC,THERAPY_TYPE_KEY_ASPECTS,INTERACTION_NUMBER,INTERACTION_STAT,INTERACTION_TYPE,MSL_ID,MSL_NAME,CREATED_DATE,HCP_NUMBER,TL,NPI_NO__PC
Therapy 1,Therapy-1452652,Compound 1,Category1,0029y00000g1XPmAAM,Indication 2,v78TR98995YwRIdIYJ,Topic 1,Aspect 1,AL236263,Submitted,Face to Face,1293Q881236LqelDIC,25,"Monday, June 5, 2023",Earvin Kleinstub,Others,273127121
Therapy 1,Therapy-1452654,Compound 1,Category1,0029y00000g1XPmAAM,Indication 2,v78TR98995YwRKxIYJ,Topic 1,Aspect 1,AL236263,Submitted,Face to Face,1293Q881236LqLDIA0,17,"Monday, June 5, 2023",Ara Morritt,Others,239040372
Therapy 1,Therapy-1452693,Compound 1,Category1,0029y00000g1NlQAAU,Indication 2,v78TR98995YwR8uIYE,Topic 1,Aspect 1,AL236426,Submitted,Face to Face,1293Q881236LqLDIA0,30,"Monday, June 5, 2023",Lynne Murthwaite,TL,308389903
Therapy 1,Therapy-1452966,Compound 1,Category1,0029y00000YRTUxAAP,Indication 2,v78TR98995YwR8LIYR,Topic 1,Aspect 3,AL237229,Submitted,Face to Face,1293Q881236LqLDIA0,2,"Wednesday, June 21, 2023",Rudy Tomaszynski,Others,296991831
Therapy 1,Therapy-1453027,Compound 1,Category1,0029y00000m6HKRAA2,Indication 2,v78TR98995YwRLWIYR,Topic 1,Aspect 1,AL237286,Submitted,Telephone,1293Q881236LqikDIC,28,"Friday, June 23, 2023",Bay Semarke,Others,224839124
Therapy 1,Therapy-14531145,Compound 1,Category1,0029y00000g1KD2AAM,Indication 2,v78TR98995YwRH1IYJ,Topic 1,Aspect 3,AL237535,Submitted,Telephone,1293Q881236LqLDIA0,27,"Wednesday, June 28, 2023",Gib Benedek,Others,259936246
Therapy 1,Therapy-928766,Compound 1,Category1,0029y00001wr1FcAAI,Indication 2,v78TR98995YwRQvIYJ,Topic 1,Aspect 1,AL233467,Submitted,Face to Face,1293Q881236LqRJDI0,3,"Wednesday, March 29, 2023",Philippine Stodit,,297119608
Therapy 1,Therapy-928849,Compound 1,Category1,0029y00000g1LVeAAM,Indication 2,v78TR98995YwRSFIYR,Topic 1,Aspect 3,AL233569,Submitted,Digital,1293Q881236LqRTDI0,12,"Tuesday, April 4, 2023",Abbi Selliman,TL,260040690
Therapy 1,Therapy-1452081,Compound 1,Category1,0029y00000YSAT7AAP,Indication 2,v78TR98995YwyxVIYR,Topic 1,Aspect 3,AL233722,Submitted,Telephone,1293Q88123708K2DII,24,"Thursday, April 27, 2023",Othilia Dukes,,260501233
Therapy 1,Therapy-1454136,Compound 1,Category1,0029y00000g1MggAAE,Indication 2,v78TR98995YwRLRIYR,Topic 1,Aspect 3,AL234947,Submitted,Telephone,1293Q88123708K2DII,22,"Wednesday, May 17, 2023",Mireielle Argo,TL,289805715
Therapy 1,Therapy-1454152,Compound 1,Category1,0029y00000g1UQGAA2,Indication 2,v78TR98995YwRKJIYR,Topic 1,Aspect 1,AL234739,Submitted,Telephone,1293Q88123708K2DII,27,"Thursday, May 18, 2023",Rosanne Cosins,Others,259544852
Therapy 1,Therapy-1454436,Compound 2,Category1,0029y00001CSV47AAH,Indication 1,v78TR98995YwRQqIYJ,Topic 1,Aspect 3,AL238657,Submitted,Face to Face,1293Q881236LqLDIA0,14,"Friday, July 28, 2023",Diannne Perfitt,TL,266976103
Therapy 1,Therapy-1454438,Compound 2,Category1,0029y00001CSV47AAH,Indication 1,v78TR98995YRxxwIYE,Topic 1,Aspect 3,AL238657,Submitted,Face to Face,1293Q881236LqRJDI0,11,"Friday, July 28, 2023",Dulcy Hince,TL,252984004
Therapy 1,Therapy-1454457,Compound 2,Category1,0029y00000g1EjQAAU,Indication 1,v78TR98995YwRSEIYJ,Topic 1,Aspect 3,AL238682,Submitted,Telephone,1293Q881236LqLDIA0,27,"Monday, July 31, 2023",Wallas McRavey,TL,260732446
Therapy 1,Therapy-1454468,Compound 2,Category1,0029y00000g1G3vAAE,Indication 1,v78TR98995YwREiIYJ,Topic 1,Aspect 1,AL238690,Submitted,Face to Face,1293Q881236LqRhDIK,24,"Monday, July 31, 2023",Juliane Livingston,TL,226256812
Therapy 1,Therapy-1454471,Compound 2,Category1,0029y00000g1G3vAAE,Indication 1,v78TR98995YwRR8IYJ,Topic 1,Aspect 1,AL238690,Submitted,Face to Face,1293Q881236LqRhDIK,9,"Monday, July 31, 2023",Benson Harlick,TL,283124110
Therapy 1,Therapy-1454704,Compound 2,Category1,0029y00001PQuCIAA1,Indication 1,v78TR98995YwRK9IYJ,Topic 1,Aspect 3,AL238762,Submitted,Face to Face,1293Q881236LqLDIA0,14,"Wednesday, August 2, 2023",Kelly Bielfelt,TL,253121766
Therapy 1,Therapy-1454870,Compound 2,Category1,0029y00000m68MrAAI,Indication 1,v78TR98995YwRJVIYR,Topic 1,Aspect 3,AL239129,Submitted,Face to Face,1293Q881236LqelDIC,28,"Tuesday, August 15, 2023",Marcus Pickering,Others,285574662
Therapy 1,Therapy-1454871,Compound 2,Category1,0029y00000m68MrAAI,Indication 1,v78TR98995YwRV7IYJ,Topic 1,Aspect 2,AL239129,Submitted,Face to Face,1293Q881236LqelDIC,22,"Tuesday, August 15, 2023",Tamas Quested,Others,276238046
Therapy 1,Therapy-1454874,Compound 2,Category1,0029y00001eajihAAA,Indication 1,v78TR98995YwREEIYE,Topic 1,Aspect 3,AL239133,Submitted,Face to Face,889QC45452LjIZLIA3,15,"Tuesday, August 15, 2023",Ninnette Humburton,TL,284006259
Therapy 1,Therapy-1454867,Compound 2,Category1,0029y00001PQtieAAD,Indication 1,v78TR98995YwRdlIYE,Topic 1,Aspect 1,AL239113,Submitted,Face to Face,1293Q881236LqRjDIK,26,"Tuesday, August 15, 2023",Burr Slimm,TL,222884996
Therapy 1,Therapy-1454876,Compound 2,Category1,0029y00000YQQQ9AAP,Indication 1,v78TR98995YwRfFIYR,Topic 1,Aspect 1,AL239137,Submitted,Face to Face,1293Q881236LqRjDIK,25,"Tuesday, August 15, 2023",Deerdre Lightman,Others,258479265
Therapy 1,Therapy-1454879,Compound 2,Category1,0029y00000YQQQ9AAP,Indication 1,v78TR98995YwRgjIYE,Topic 1,Aspect 3,AL239137,Submitted,Face to Face,1293Q881236VMrzDIG,26,"Tuesday, August 15, 2023",Lesya Calken,Others,243573572
Therapy 1,Therapy-1454887,Compound 2,Category1,0029y00000g1RBqAAM,Indication 1,v78TR98995YwReYIYE,Topic 1,Aspect 1,AL237769,Submitted,Face to Face,889QC45452LjIZLIA3,3,"Tuesday, August 15, 2023",Lorene Loudiane,TL,249976670
Therapy 1,Therapy-1454888,Compound 2,Category1,0029y00000g1RBqAAM,Indication 1,v78TR98995YwRl9IYE,Topic 1,Aspect 3,AL237769,Submitted,Face to Face,1293Q881236LqikDIC,29,"Tuesday, August 15, 2023",Jill Bavester,TL,269297815
Therapy 1,Therapy-1454889,Compound 2,Category1,0029y00000g1RBqAAM,Indication 1,v78TR98995YwRh6IYE,Topic 1,Aspect 1,AL237769,Submitted,Face to Face,1293Q881236UtQ9DIK,4,"Tuesday, August 15, 2023",Willis Kovalski,TL,265200038
Therapy 1,Therapy-1454890,Compound 2,Category1,0029y00000g1RBqAAM,Indication 1,v78TR98995YwRW5IYJ,Topic 1,Aspect 1,AL237769,Submitted,Face to Face,1293Q88123708K2DII,12,"Tuesday, August 15, 2023",Charlean Crosier,TL,304236475
Therapy 1,Therapy-1453815,Compound 2,Category1,0029y00000g1PI8AAM,Indication 1,v78TR98995YwREIIYR,Topic 1,Aspect 3,AL239125,Submitted,Telephone,1293Q881236LqRTDI0,11,"Thursday, August 17, 2023",Veronika Menendez,Others,252556808
Therapy 1,Therapy-1454760,Compound 2,Category1,0029y00001kYoyUAAS,Indication 1,v78TR98995YwRENIYR,Topic 1,Aspect 3,AL238856,Submitted,Face to Face,1293Q881236UtQ9DIK,28,"Friday, August 4, 2023",Chick Hedlestone,Others,270751410
Therapy 1,Therapy-1454791,Compound 2,Category1,0029y00001CSWuUAAX,Indication 1,v78TR98995YwRqwIYE,Topic 1,Aspect 1,AL238922,Submitted,VC,1293Q881236LqRjDIK,29,"Monday, August 7, 2023",Michel Cankett,TL,240744784
Therapy 1,Therapy-1453878,Compound 2,Category1,0029y00000g1Jh5AAE,Indication 1,v78TR98995YwRtEIYE,Topic 1,Aspect 3,AL239132,Submitted,Face to Face,1293Q881236LqRjDIK,30,"Friday, August 18, 2023",Roxanna Hinckley,TL,234891288
Therapy 1,Therapy-1453905,Compound 2,Category1,0029y00000g1NjxAAE,Indication 1,v78TR98995YwRVHIYR,Topic 1,Aspect 3,AL239248,Submitted,VC,1293Q881236LqelDIC,30,"Friday, August 18, 2023",Vinita Halford,TL,259876809
Therapy 1,Therapy-1453984,Compound 2,Category1,0029y00001CSWq8AAH,Indication 1,v78TR98995YRw7FIYR,Topic 1,Aspect 1,AL239427,Submitted,Face to Face,1293Q881236LqRhDIK,24,"Thursday, August 24, 2023",Lavinie Baddow,TL,271274484
Therapy 1,Therapy-1454044,Compound 2,Category1,0029y00000g1SGoAAM,Indication 1,v78TR98995YRw7RIYR,Topic 1,Aspect 3,AL239758,Submitted,Face to Face,1293Q881236LqikDIC,20,"Monday, August 28, 2023",Jemmie Eldered,TL,267552400
Therapy 1,Therapy-1454058,Compound 2,Category1,0029y00000g1TEIAA2,Indication 1,v78TR98995YRw88IYE,Topic 1,Aspect 3,AL239812,Submitted,Face to Face,1293Q881236LqelDIC,19,"Monday, August 28, 2023",Lynde Eyers,TL,307150398
Therapy 1,Therapy-1454088,Compound 2,Category1,0029y00001Ny3hIAAR,Indication 1,v78TR98995YRw8XIYR,Topic 1,Aspect 3,AL239785,Submitted,Telephone,1293Q881236UtQ9DIK,18,"Tuesday, August 29, 2023",Dulcia Terrazzo,Others,276643999
Therapy 1,Therapy-1454269,Compound 2,Category1,0029y00001PQuPIAA1,Indication 1,v78TR98995YRvqwIYE,Topic 1,Aspect 3,AL730179,Submitted,Face to Face,1293Q881236LqRYDI0,17,"Tuesday, September 12, 2023",Nehemiah Curtin,TL,270933772
Therapy 1,Therapy-1454129,Compound 2,Category1,0029y00001eY0kfAAC,Indication 1,v78TR98995YRw7yIYE,Topic 1,Aspect 2,AL238809,Submitted,Face to Face,1293Q881236LqRJDI0,8,"Thursday, August 31, 2023",Penny Klugman,Others,232526024
Therapy 1,Therapy-1454325,Compound 1,Category1,0029y00000m66kaAAA,Indication 2,v78TR98995YRwYJIYR,Topic 1,Aspect 1,AL730386,Submitted,Telephone,1293Q881236LqRTDI0,27,"Friday, September 15, 2023",Shanta Miko,Others,254011533
Therapy 1,Therapy-1454332,Compound 1,Category1,0029y00001CSWsKAAX,Indication 2,v78TR98995YRw9VIYR,Topic 1,Aspect 1,AL730399,Submitted,Face to Face,1293Q881236UtQ9DIK,19,"Monday, September 18, 2023",Shay Caught,TL,282681118
Therapy 1,Therapy-1454356,Compound 2,Category1,0029y00001PQtJZAA1,Indication 2,v78TR98995YRwFlIYJ,Topic 1,Aspect 1,AL730450,Submitted,Face to Face,1293Q881236LqRjDIK,18,"Tuesday, September 19, 2023",Delmer Cusiter,TL,247730270
Therapy 1,Therapy-1454186,Compound 2,Category1,0029y00000YPsVLAA1,Indication 1,v78TR98995YRwFMIYR,Topic 1,Aspect 2,AL730064,Submitted,Face to Face,1293Q88123708K2DII,6,"Wednesday, September 6, 2023",Aurora Gregoire,Others,291471262
Therapy 1,Therapy-1454384,Compound 2,Category1,0029y00001r4kLLAAY,Indication 1,v78TR98995YRwREIYJ,Topic 1,Aspect 3,AL730593,Submitted,Face to Face,1293Q881236LqelDIC,1,"Thursday, September 21, 2023",Demetria Coutthart,Others,291647588
Therapy 1,Therapy-1454387,Compound 2,Category1,0029y00001wqzuxAAA,Indication 1,v78TR98995YRwElIYJ,Topic 1,Aspect 3,AL730661,Submitted,Telephone,1293Q881236LqLDIA0,7,"Friday, September 22, 2023",Nikolia Thickins,Others,230426588
Therapy 1,Therapy-1454446,Compound 2,Category1,0029y00001CSWgHAAX,Indication 1,v78TR98995YRwIVIYR,Topic 1,Aspect 3,AL730752,Submitted,VC,1293Q881236LqelDIC,8,"Saturday, September 23, 2023",Jephthah Massel,TL,261658469
Therapy 1,Therapy-1454447,Compound 2,Category1,0029y00001CSWgHAAX,Indication 1,v78TR98995YRwLTIYR,Topic 1,Aspect 1,AL730752,Submitted,VC,1293Q881236LqelDIC,1,"Saturday, September 23, 2023",Thomasa Capsey,TL,234381851
Therapy 1,Therapy-1454448,Compound 2,Category1,0029y00000g1JoGAAU,Indication 1,v78TR98995YRw2YIYR,Topic 1,Aspect 3,AL730753,Submitted,Face to Face,1293Q88123708K2DII,25,"Saturday, September 23, 2023",Almira Mulchrone,TL,275769523
Therapy 1,Therapy-1454241,Compound 2,Category1,0029y00001CSWfCAAX,Indication 1,v78TR98995YRwMqIYJ,Topic 1,Aspect 3,AL239833,Submitted,Face to Face,1293Q88123708K2DII,21,"Friday, September 8, 2023",Fleming Whicher,TL,262773186
Therapy 1,Therapy-1454234,Compound 2,Category1,0029y00000g1TWbAAM,Indication 1,v78TR98995YRwEgIYJ,Topic 1,Aspect 3,AL730229,Submitted,Face to Face,1293Q88123708K2DII,13,"Friday, September 8, 2023",Dannel Cornford,Others,286552525
Therapy 1,Therapy-1454235,Compound 2,Category1,0029y00000g1TWbAAM,Indication 1,v78TR98995YRwO8IYJ,Topic 1,Aspect 3,AL730229,Submitted,Face to Face,1293Q881236LqRTDI0,5,"Friday, September 8, 2023",Chet Clark,Others,229802593
Therapy 1,Therapy-1454240,Compound 2,Category1,0029y00000g1Vc1AAE,Indication 1,v78TR98995YRwOXIYR,Topic 1,Aspect 3,AL239833,Submitted,Face to Face,1293Q881236LqelDIC,30,"Friday, September 8, 2023",Margarete Cunnah,TL,278784508
Therapy 1,Therapy-1454259,Compound 2,Category1,0029y00000g1L1bAAE,Indication 1,v78TR98995YRwQhIYJ,Topic 1,Aspect 3,AL730303,Submitted,Face to Face,1293Q881236LqRjDIK,26,"Tuesday, September 12, 2023",Orly Truswell,TL,284240349
Therapy 1,Therapy-1454574,Compound 2,Category1,0029y00000g1F8UAAU,Indication 1,v78TR98995YRwTTIYR,Topic 1,Aspect 3,AL238752,Submitted,Face to Face,1293Q881236LqRGDI0,1,"Monday, October 2, 2023",Jaquelin Nathon,TL,265245797
Therapy 1,Therapy-1454585,Compound 2,Category1,0029y00001PQtrnAAD,Indication 1,v78TR98995YRwUlIYJ,Topic 1,Aspect 1,AL730483,Submitted,Face to Face,1293Q881236LqelDIC,24,"Monday, October 2, 2023",Zeke Esseby,TL,244826120
Therapy 1,Therapy-1454602,Compound 2,Category1,0029y00000g1IGCAA2,Indication 2,v78TR98995YRwURIYR,Topic 1,Aspect 3,AL731493,Submitted,VC,1293Q881236VMrzDIG,16,"Tuesday, October 3, 2023",Claudius Cooper,Others,291738477
Therapy 1,Therapy-1454458,Compound 1,Category1,0029y00000YPxu1AAD,Indication 2,v78TR98995YRwTxIYJ,Topic 1,Aspect 2,AL730819,Submitted,Telephone,1293Q881236LqLDIA0,7,"Monday, September 25, 2023",Marya Balazs,Others,241638058
Therapy 1,Therapy-1454620,Compound 2,Category1,0029y00000g1HjDAAU,Indication 1,v78TR98995YRwXfIYJ,Topic 1,Aspect 3,AL731290,Submitted,Telephone,1293Q881236UtQ9DIK,24,"Tuesday, October 3, 2023",Prentiss Crufts,Others,283710857
Therapy 1,Therapy-1454618,Compound 1,Category1,0029y00000g1QwYAAU,Indication 2,v78TR98995YRwXkIYJ,Topic 1,Aspect 1,AL731287,Submitted,Telephone,1293Q881236UtQ9DIK,7,"Tuesday, October 3, 2023",Kirk Bever,Others,253644128
Therapy 1,Therapy-1454465,Compound 2,Category1,0029y00001r3hNPAAY,Indication 1,v78TR98995YRwYjIYJ,Topic 1,Aspect 3,AL730416,Submitted,Telephone,1293Q881236LqRTDI0,13,"Tuesday, September 26, 2023",Dottie Marien,Others,290670022
Therapy 1,Therapy-1454634,Compound 2,Category1,0029y00000m6U3LAAU,Indication 1,v78TR98995YRwYoIYJ,Topic 1,Aspect 2,AL731567,Submitted,Face to Face,1293Q881236LqRTDI0,20,"Wednesday, October 4, 2023",Winfield Rosenbush,Others,246927672
Therapy 1,Therapy-1454636,Compound 2,Category1,0029y00000YRdMnAAL,Indication 1,v78TR98995YRvwlIYE,Topic 1,Aspect 3,AL731567,Submitted,Face to Face,1293Q8812373uiFDIQ,6,"Wednesday, October 4, 2023",Bonny Rootham,,247812119
Therapy 1,Therapy-1454644,Compound 2,Category1,0029y00001CSnk8AAD,Indication 1,v78TR98995YRwYJIYR,Topic 1,Aspect 3,AL730240,Submitted,Face to Face,1293Q881236LqRjDIK,5,"Wednesday, October 4, 2023",Dael McKeggie,TL,306169281
Therapy 1,Therapy-1454642,Compound 2,Category1,0029y00000g1RBqAAM,Indication 1,v78TR98995YRwg1IYE,Topic 1,Aspect 3,AL730240,Submitted,Face to Face,1293Q88123708K2DII,5,"Wednesday, October 4, 2023",Maura Cockren,TL,306160633
Therapy 1,Therapy-1454659,Compound 2,Category1,0029y00000g1WqQAAU,Indication 1,v78TR98995YRwQmIYJ,Topic 1,Aspect 2,AL731636,Submitted,VC,1293Q88123708K2DII,19,"Wednesday, October 4, 2023",Kendell Stevenson,TL,302312775
Therapy 1,Therapy-1454660,Compound 2,Category1,0029y00000g1WqQAAU,Indication 1,v78TR98995YRwhOIYR,Topic 1,Aspect 2,AL731636,Submitted,VC,1293Q881236LqRGDI0,11,"Wednesday, October 4, 2023",Tiffanie Dandy,TL,281615851
Therapy 1,Therapy-1454652,Compound 1,Category1,0029y00000g1PivAAE,Indication 2,v78TR98995YRwhOIYR,Topic 1,Aspect 1,AL731610,Submitted,Face to Face,1293Q881236LqRGDI0,1,"Wednesday, October 4, 2023",Philly Itzkin,TL,233177134
Therapy 1,Therapy-1454677,Compound 2,Category1,0029y00000g1SQOAA2,Indication 1,v78TR98995YRwjSIYR,Topic 1,Aspect 3,AL731650,Submitted,Face to Face,1293Q881236LqelDIC,24,"Thursday, October 5, 2023",Guthry Stansall,TL,289394746
Therapy 1,Therapy-1454680,Compound 2,Category1,0029y00000g1JAnAAM,Indication 1,v78TR98995YRwJ8IYJ,Topic 1,Aspect 1,AL731650,Submitted,Face to Face,1293Q881236LqLDIA0,21,"Thursday, October 5, 2023",Hesther Monteith,TL,286588884
Therapy 1,Therapy-1454744,Compound 2,Category1,0029y00000g1VeKAAU,Indication 1,v78TR98995YRwhTIYR,Topic 1,Aspect 2,AL731778,Submitted,Face to Face,1293Q881236LqLDIA0,29,"Sunday, October 8, 2023",Tulley Napleton,TL,266646636
Therapy 1,Therapy-1454741,Compound 2,Category1,0029y00001CSWXhAAP,Indication 1,v78TR98995YRwlOIYR,Topic 1,Aspect 2,AL731775,Submitted,Face to Face,1293Q881236LqLDIA0,19,"Saturday, October 7, 2023",Tobie Endean,TL,282709498
Therapy 1,Therapy-1454531,Compound 2,Category1,0029y00001PQuNbAAL,Indication 1,v78TR98995YRwneIYE,Topic 1,Aspect 3,AL730757,Submitted,Face to Face,1293Q88123708K2DII,2,"Saturday, September 30, 2023",Harli De Ruel,TL,304332095
Therapy 1,Therapy-1454743,Compound 2,Category1,0029y00000g1Df7AAE,Indication 1,v78TR98995YRwimIYE,Topic 1,Aspect 1,AL731777,Submitted,Face to Face,1293Q88123708K2DII,22,"Sunday, October 8, 2023",Charlotte Janway,TL,268929914
Therapy 1,Therapy-1454753,Compound 2,Category1,0029y00000g1QhKAAU,Indication 1,v78TR98995YRw7oIYE,Topic 1,Aspect 1,AL731793,Submitted,Face to Face,1293Q88123708K2DII,19,"Monday, October 9, 2023",Slade Lundy,TL,253284343
Therapy 1,Therapy-1454759,Compound 2,Category1,0029y00000g1STcAAM,Indication 1,v78TR98995YRwRRIYR,Topic 1,Aspect 3,AL731828,Submitted,Face to Face,1293Q88123708K2DII,29,"Monday, October 9, 2023",Diena Astill,TL,242985054
Therapy 1,Therapy-1454770,Compound 2,Category1,0029y00000g1M6sAAE,Indication 1,v78TR98995YRwo8IYE,Topic 1,Aspect 1,AL730760,Submitted,Telephone,1293Q881236LqikDIC,14,"Tuesday, October 10, 2023",Otes Masterton,Others,237163233
Therapy 1,Therapy-1454777,Compound 2,Category1,0029y00000m54ShAAI,Indication 1,v78TR98995YRwqEIYR,Topic 1,Aspect 1,AL731900,Submitted,Telephone,1293Q881236LqelDIC,2,"Wednesday, October 11, 2023",Lark Tremathick,Others,287389918
Therapy 1,Therapy-1454790,Compound 2,Category1,0029y00001PQtOnAAL,Indication 1,v78TR98995YRwmRIYR,Topic 1,Aspect 1,AL731914,Submitted,Face to Face,1293Q881236LqikDIC,29,"Wednesday, October 11, 2023",Koenraad Mollatt,Others,249563365
Therapy 1,Therapy-1454835,Compound 2,Category1,0029y00001PQtKXAA1,Indication 1,v78TR98995YRwqeIYE,Topic 1,Aspect 3,AL731671,Submitted,Face to Face,1293Q881236LqRYDI0,3,"Monday, October 16, 2023",Maren Potteridge,TL,285898053
Therapy 1,Therapy-1454843,Compound 1,Category1,0029y00000g1KI0AAM,Indication 2,v78TR98995YRwqeIYE,Topic 1,Aspect 1,AL732145,Submitted,Face to Face,1293Q881236LqRYDI0,5,"Monday, October 16, 2023",Theo Nayshe,TL,225609616
Therapy 1,Therapy-1454852,Compound 2,Category1,0029y00001Yj5hcAAB,Indication 1,v78TR98995YRwEEIYR,Topic 1,Aspect 3,AL732208,Submitted,VC,1293Q88123708K2DII,18,"Tuesday, October 17, 2023",Ruperta Pariss,Others,233294110
Therapy 1,Therapy-1454856,Compound 2,Category1,0029y00000YRmbeAAD,Indication 1,v78TR98995YRwhdIYE,Topic 1,Aspect 3,AL732208,Submitted,VC,1293Q88123708K2DII,12,"Tuesday, October 17, 2023",Sylvester Wetherhead,,273289209
Therapy 1,Therapy-921090,Compound 2,Category1,0029y000011OyrmAAC,Indication 1,v78TR98995YRweMIYR,Topic 1,Aspect 3,AL732462,Submitted,Face to Face,1293Q881236LqRhDIK,14,"Monday, October 30, 2023",Gene Camamile,TL,245893735
Therapy 1,Therapy-1454870,Compound 2,Category1,0029y00001PQtdkAAD,Indication 1,v78TR98995YRweWIYR,Topic 1,Aspect 1,AL732250,Submitted,Face to Face,1293Q881236VMrzDIG,4,"Wednesday, October 18, 2023",Micki Kneebone,TL,287198725
Therapy 1,Therapy-1454880,Compound 2,Category1,0029y00001PQtU4AAL,Indication 1,v78TR98995YRwyNIYR,Topic 1,Aspect 3,AL731932,Submitted,Face to Face,1293Q881236LqikDIC,15,"Wednesday, October 18, 2023",Emmalyn Pape,TL,288573426
Therapy 1,Therapy-1454892,Compound 2,Category1,0029y00000g1UUzAAM,Indication 1,v78TR98995YRwV0IYJ,Topic 1,Aspect 1,AL732290,Submitted,Face to Face,1293Q8812373uiFDIQ,17,"Wednesday, October 18, 2023",Valentine Pinhorn,TL,239714098
Therapy 1,Therapy-921111,Compound 2,Category1,0029y00001PQu1jAAD,Indication 1,v78TR98995YRwgfIYE,Topic 1,Aspect 3,AL732775,Submitted,Face to Face,1293Q8812373uiFDIQ,22,"Tuesday, October 31, 2023",Dorian Dackombe,Others,287649215
Therapy 1,Therapy-1454897,Compound 2,Category1,0029y00000g1MtgAAE,Indication 1,v78TR98995YRvwRIYR,Topic 1,Aspect 3,AL732320,Submitted,Face to Face,1293Q8812373uiPDIQ,20,"Thursday, October 19, 2023",Meriel Bowle,TL,297814607
Therapy 1,Therapy-1454905,Compound 2,Category1,0029y00001CSRWFAA5,Indication 1,v78TR98995YRwymIYE,Topic 1,Aspect 2,AL732268,Submitted,Telephone,1293Q881236VMrzDIG,10,"Thursday, October 19, 2023",Karly Westmore,Others,233480540
Therapy 1,Therapy-1454932,Compound 2,Category1,0029y00000YRHBhAAP,Indication 1,v78TR98995YRx15IYE,Topic 1,Aspect 1,AL732384,Submitted,Telephone,1293Q8812373uiFDIQ,17,"Friday, October 20, 2023",Reade Trouel,Others,299685943
Therapy 1,Therapy-1454945,Compound 2,Category1,0029y00001PQtfzAAD,Indication 1,v78TR98995YRx7NIYR,Topic 1,Aspect 1,AL732406,Submitted,Face to Face,1293Q8812373uiFDIQ,30,"Friday, October 20, 2023",Giles Christensen,Others,247777507
Therapy 1,Therapy-1454946,Compound 1,Category1,0029y00001PQtfzAAD,Indication 2,v78TR98995YRx7XIYR,Topic 1,Aspect 1,AL732406,Submitted,Face to Face,1293Q8812373uiFDIQ,25,"Friday, October 20, 2023",Stevana Letham,Others,284431228
Therapy 1,Therapy-1454955,Compound 2,Category1,0029y00000YRRXuAAP,Indication 1,v78TR98995YRwH8IYJ,Topic 1,Aspect 3,AL732416,Submitted,Face to Face,1293Q8812373uiPDIQ,29,"Friday, October 20, 2023",Maighdiln Rieger,Others,247749021
Therapy 1,Therapy-1454957,Compound 2,Category1,0029y00000YRdwAAAT,Indication 1,v78TR98995YRwHXIYR,Topic 1,Aspect 3,AL732420,Submitted,Face to Face,1293Q8812373uiPDIQ,18,"Friday, October 20, 2023",Fleming Sibbons,Others,239850559
Therapy 1,Therapy-1454964,Compound 2,Category1,0029y00002F8229AAB,Indication 1,v78TR98995YRwQXIYR,Topic 1,Aspect 3,AL732423,Submitted,Face to Face,1293Q8812373uiPDIQ,30,"Monday, October 23, 2023",Eldridge Dowell,Others,292687890
Therapy 1,Therapy-1454965,Compound 2,Category1,0029y00001PQQcLAAX,Indication 1,v78TR98995YRx81IYE,Topic 1,Aspect 3,AL732423,Submitted,Face to Face,1293Q8812373uiPDIQ,21,"Monday, October 23, 2023",Allistir Pallister,Others,235617740
Therapy 1,Therapy-1454977,Compound 2,Category1,0029y00000g1RrBAAU,Indication 1,v78TR98995YRwxeIYE,Topic 1,Aspect 3,AL732456,Submitted,Face to Face,1293Q8812373uiPDIQ,27,"Tuesday, October 24, 2023",Hunt Cockshut,TL,261215995
Therapy 1,Therapy-1454978,Compound 2,Category1,0029y00000g1RrBAAU,Indication 1,v78TR98995YRwyrIYE,Topic 1,Aspect 3,AL732456,Submitted,Face to Face,1293Q8812373uiPDIQ,11,"Tuesday, October 24, 2023",Lionello Mulholland,TL,295045499
Therapy 1,Therapy-1454979,Compound 2,Category1,0029y00000g1RrBAAU,Indication 1,v78TR98995YRwr4IYE,Topic 1,Aspect 3,AL732456,Submitted,Face to Face,1293Q8812373uiPDIQ,9,"Tuesday, October 24, 2023",Jeanne Ashworth,TL,230900918
Therapy 1,Therapy-1454996,Compound 2,Category1,0029y00000g1Os2AAE,Indication 1,v78TR98995YRwRxIYE,Topic 1,Aspect 1,AL732347,Submitted,Telephone,1293Q881236LqRhDIK,13,"Wednesday, October 25, 2023",Chaim Cutajar,Others,285741363
Therapy 1,Therapy-921153,Compound 2,Category1,0029y00000YRtUHAA1,Indication 1,v78TR98995YRxHDIYR,Topic 1,Aspect 1,AL732842,Submitted,Telephone,1293Q881236LqRODI0,17,"Wednesday, November 1, 2023",Kennan Bentz,Others,236948440
Therapy 1,Therapy-921928,Compound 2,Category1,0029y00000YSEwSAAX,Indication 1,v78TR98995YRx07IYE,Topic 1,Aspect 1,AL732554,Submitted,Face to Face,1293Q881236VMrzDIG,11,"Wednesday, October 25, 2023",Melanie Piggford,Others,301130530
Therapy 1,Therapy-9211454,Compound 2,Category1,0029y00000YS5mvAAD,Indication 1,v78TR98995YRwU7IYJ,Topic 1,Aspect 1,AL732566,Submitted,Face to Face,1293Q881236LqRGDI0,19,"Thursday, October 26, 2023",Jolie Prate,Others,305991381
